ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	COGID	GLOTTOCODE	LATITUDE	LONGITUDE	ALIGNMENT	STRUCTURE	ORIGINAL_ALIGNMENT	ORIGINAL_TOKENS	ORIGINAL_STRUCTURE
6008	Santiagueno	ash	ushpa	ushpa	u ʃ p a		2	sant1432	-27.79	-64.25	u ʃ p a	V C C V	u ʃ - p a	u ʃ p a	V C C V
6016	Yanac	ash	učpa	učpa	u tʃ p a		2	coro1247	-8.58	-77.99	u tʃ p a	V C C V	u tʃ - p a	u tʃ p a	V C C V
3727	Apuri	back	washa	washa	w a ʃ a		615	apur1253	-12.89	-75.81	w a ʃ a	C V C V	w a ʃ a	w a ʃ a	C V C V
3728	Apurimac	back	wasa	wasa	w a s a		615	east2551	-13.89	-73.14	w a s a	C V C V	w a s a	w a s a	C V C V
3729	Atalla	back	wasa	wasa	w a s a		615	huan1249	-12.76	-74.87	w a s a	C V C V	w a s a	w a s a	C V C V
3730	Ayacucho	back	wasa	wasa	w a s a		615	ayac1239	-13.85	-74.32	w a s a	C V C V	w a s a	w a s a	C V C V
7203	Azuay	back	huasha	huasha	w a ʃ a		615	azua1234	-2.48	-78.97	w a ʃ a	C V C V	w a ʃ a	w a ʃ a	C V C V
3733	Chachapoyas	back	washa	washa	w a ʃ a		615	chac1250	-6.27	-77.66	w a ʃ a	C V C V	w a ʃ a	w a ʃ a	C V C V
3743	Huangascar	back	washa	washa	w a ʃ a		615	azan1238	-12.9	-75.83	w a ʃ a	C V C V	w a ʃ a	w a ʃ a	C V C V
3745	Imbabura	back	washa	washa	w a ʃ a		615	imba1240	-0.23	-78.26	w a ʃ a	C V C V	w a ʃ a	w a ʃ a	C V C V
7329	Jauja	back	waŝa	waŝa	w a ʂ a		615	jauj1238	-11.67	-75.28	w a ʂ a	C V C V	w a ʂ a	w a ʂ a	C V C V
3753	Maragua	back	wasa	wasa	w a s a		615	sout2991	-18.96	-65.78	w a s a	C V C V	w a s a	w a s a	C V C V
3754	Napo	back	huasha	huasha	w a ʃ a		615	napo1242	-0.04	-76.23	w a ʃ a	C V C V	w a ʃ a	w a ʃ a	C V C V
3755	Pacaraos	back	washa	washa	w a ʃ a		615	paca1245	-11.14	-76.73	w a ʃ a	C V C V	w a ʃ a	w a ʃ a	C V C V
3759	Puno	back	wasa	wasa	w a s a		615	puno1238	-14.61	-70.21	w a s a	C V C V	w a s a	w a s a	C V C V
3763	Santiagueno	back	wasa	wasa	w a s a		615	sant1432	-27.79	-64.25	w a s a	C V C V	w a s a	w a s a	C V C V
3735	Chetilla	back	waxta	waxta	w a x t a		787	caja1238	-7.09	-78.32	w a x t a	C V C C V	w a x t a	w a x t a	C V C C V
3740	Huallaga	back	waχta	waχta	w a χ t a		787	hual1241	-9.57	-75.59	w a χ t a	C V C C V	w a χ t a	w a χ t a	C V C C V
3744	HuarazHuailas	back	waqta	waqta	w a q t a		787	huai1241	-9.52	-77.52	w a q t a	C V C C V	w a q t a	w a q t a	C V C C V
3746	Inkawasi	back	waχta	waχta	w a χ t a		787	lamb1276	-6.17	-79.47	w a χ t a	C V C C V	w a χ t a	w a χ t a	C V C C V
3772	Yanac	back	waqta, waχta	waqta	w a q t a		787	coro1247	-8.58	-77.99	w a q t a	C V C C V	w a q t a	w a q t a	C V C C V
533	Apuri	be sick	unqu-	unqu-	o ŋ q u		874	apur1253	-12.89	-75.81	o ŋ q u	V C C V	o ŋ q u - - - -	o ŋ q u	V C C V
534	Apurimac	be sick	onqochi	onqochi	o n q o		874	east2551	-13.89	-73.14	o n q o	V C C V	o n q o tʃ - - i	o n q o tʃ i	V C C V C V
536	Atalla	be sick	unġu	unġu	u n ɢ u		874	huan1249	-12.76	-74.87	u n ɢ u	V C C V	u n ɢ u - - - -	u n ɢ u	V C C V
537	Ayacucho	be sick	onqo	onqo	o ŋ χ o		874	ayac1239	-13.85	-74.32	o ŋ χ o	V C C V	o ŋ χ o - - - -	o ŋ χ o	V C C V
550	Huangascar	be sick	unqu-	unqu-	o ŋ q u		874	azan1238	-12.9	-75.83	o ŋ q u	V C C V	o ŋ q u - - - -	o ŋ q u	V C C V
551	Imbabura	be sick	unku	unku	u n k u		874	imba1240	-0.23	-78.26	u n k u	V C C V	u n k u - - - -	u n k u	V C C V
558	Maragua	be sick	unqu	unqu	u n q u		874	sout2991	-18.96	-65.78	u n q u	V C C V	u n q u - - - -	u n q u	V C C V
559	Napo	be sick	unguchina	unguchina	u n g u		874	napo1242	-0.04	-76.23	u n g u	V C C V	u n g u tʃ i n a	u n g u tʃ i n a	V C C V C V C V
564	Puno	be sick	unqu	unqu	u n q u		874	puno1238	-14.61	-70.21	u n q u	V C C V	u n q u - - - -	u n q u	V C C V
567	Santiagueno	be sick	onqos	onqos	o ŋ q o		874	sant1432	-27.79	-64.25	o ŋ q o	V C C V	o ŋ q o s - - -	o ŋ q o s	V C C V C
541	Chetilla	be sick	qiyša.	qiyša.	q i ʃ a		3	caja1238	-7.09	-78.32	q i ʃ - a	C V C V	q i ʃ - a	q i ʃ a	C V C V
547	Huallaga	be sick	qišya.	qišya.	q i ʃ j a		3	hual1241	-9.57	-75.59	q i ʃ j a	C V C C V	q i ʃ j a	q i ʃ j a	C V C C V
7504	HuarazHuailas	be sick	queshya	queshya	q i ʃ j a		3	huai1241	-9.52	-77.52	q i ʃ j a	C V C C V	q i ʃ j a	q i ʃ j a	C V C C V
552	Inkawasi	be sick	qiša.	qiša.	q i ʃ a		3	lamb1276	-6.17	-79.47	q i ʃ - a	C V C V	q i ʃ - a	q i ʃ a	C V C V
7330	Jauja	be sick	qishyay	qishyay	h i ʃ j a		3	jauj1238	-11.67	-75.28	h i ʃ j a	C V C C V	h i ʃ j a	h i ʃ j a	C V C C V
560	Pacaraos	be sick	qishya	qishya	χ e ʃ j a		3	paca1245	-11.14	-76.73	χ e ʃ j a	C V C C V	χ e ʃ j a	χ e ʃ j a	C V C C V
575	Yanac	be sick	qiš(i)ya., ġišya	qišya.	q i ʃ j a		3	coro1247	-8.58	-77.99	q i ʃ j a	C V C C V	q i ʃ j a	q i ʃ j a	C V C C V
4162	Apuri	belly (stomach)	wiksa	wiksa	w i k s a		83	apur1253	-12.89	-75.81	w i k s a	C V C C V	w i k s a	w i k s a	C V C C V
4163	Apurimac	belly (stomach)	wiksa	wiksa	w i k s a		83	east2551	-13.89	-73.14	w i k s a	C V C C V	w i k s a	w i k s a	C V C C V
4165	Atalla	belly (stomach)	wiksa	wiksa	w i k s a		83	huan1249	-12.76	-74.87	w i k s a	C V C C V	w i k s a	w i k s a	C V C C V
4166	Ayacucho	belly (stomach)	wiksa	wiksa	w i k s a		83	ayac1239	-13.85	-74.32	w i k s a	C V C C V	w i k s a	w i k s a	C V C C V
7211	Azuay	belly (stomach)	huigsa	huigsa	w i χ a		83	azua1234	-2.48	-78.97	w i χ - a	C V C V	w i χ - a	w i χ a	C V C V
4169	Chachapoyas	belly (stomach)	wiksa	wiksa	w i k s a		83	chac1250	-6.27	-77.66	w i k s a	C V C C V	w i k s a	w i k s a	C V C C V
4180	Huangascar	belly (stomach)	wiksa	wiksa	w i k s a		83	azan1238	-12.9	-75.83	w i k s a	C V C C V	w i k s a	w i k s a	C V C C V
4182	Imbabura	belly (stomach)	wiksa	wiksa	w i k s a		83	imba1240	-0.23	-78.26	w i k s a	C V C C V	w i k s a	w i k s a	C V C C V
4191	Maragua	belly (stomach)	wixsa	wixsa	w i x s a		83	sout2991	-18.96	-65.78	w i x s a	C V C C V	w i x s a	w i x s a	C V C C V
4192	Napo	belly (stomach)	huicsa	huicsa	w i k s a		83	napo1242	-0.04	-76.23	w i k s a	C V C C V	w i k s a	w i k s a	C V C C V
4197	Puno	belly (stomach)	wiksa	wiksa	w i k s a		83	puno1238	-14.61	-70.21	w i k s a	C V C C V	w i k s a	w i k s a	C V C C V
4201	Santiagueno	belly (stomach)	wiksa	wiksa	w i x s a		83	sant1432	-27.79	-64.25	w i x s a	C V C C V	w i x s a	w i x s a	C V C C V
4171	Chetilla	belly (stomach)	paĉa	paĉa	p a ʈʂ a		85	caja1238	-7.09	-78.32	p a ʈʂ a	C V C V	p a ʈʂ a	p a ʈʂ a	C V C V
4177	Huallaga	belly (stomach)	pača	pača	p a tʃ a		85	hual1241	-9.57	-75.59	p a tʃ a	C V C V	p a tʃ a	p a tʃ a	C V C V
4181	HuarazHuailas	belly (stomach)	pacha	pacha	p a tʃ a		85	huai1241	-9.52	-77.52	p a tʃ a	C V C V	p a tʃ a	p a tʃ a	C V C V
4183	Inkawasi	belly (stomach)	paĉa	paĉa	p a ʈʂ a		85	lamb1276	-6.17	-79.47	p a ʈʂ a	C V C V	p a ʈʂ a	p a ʈʂ a	C V C V
7336	Jauja	belly (stomach)	pata	pata	p a t a		85	jauj1238	-11.67	-75.28	p a t a	C V C V	p a t a	p a t a	C V C V
4193	Pacaraos	belly (stomach)	patra	patra	p a ʈʂ a		85	paca1245	-11.14	-76.73	p a ʈʂ a	C V C V	p a ʈʂ a	p a ʈʂ a	C V C V
4211	Yanac	belly (stomach)	paĉa	paĉa	p a ʈʂ a		85	coro1247	-8.58	-77.99	p a ʈʂ a	C V C V	p a ʈʂ a	p a ʈʂ a	C V C V
189	Apuri	big	hatun	hatun	h a t u n		189	apur1253	-12.89	-75.81	h a t u n	C V C V C	h a t u n	h a t u n	C V C V C
190	Apurimac	big	hatun	hatun	h a t u n		189	east2551	-13.89	-73.14	h a t u n	C V C V C	h a t u n	h a t u n	C V C V C
192	Atalla	big	hatun	hatun	h a t u n		189	huan1249	-12.76	-74.87	h a t u n	C V C V C	h a t u n	h a t u n	C V C V C
193	Ayacucho	big	hatun	hatun	h a t u ŋ		189	ayac1239	-13.85	-74.32	h a t u ŋ	C V C V C	h a t u ŋ	h a t u ŋ	C V C V C
7268	Azuay	big	jatun	jatun	h a t u n		189	azua1234	-2.48	-78.97	h a t u n	C V C V C	h a t u n	h a t u n	C V C V C
196	Chachapoyas	big	atun	atun	a t u n		189	chac1250	-6.27	-77.66	- a t u n	V C V C	- a t u n	a t u n	V C V C
198	Chetilla	big	atun	atun	a t u n		189	caja1238	-7.09	-78.32	- a t u n	V C V C	- a t u n	a t u n	V C V C
203	Huallaga	big	hatun	hatun	h a t u n		189	hual1241	-9.57	-75.59	h a t u n	C V C V C	h a t u n	h a t u n	C V C V C
206	Huangascar	big	hatun	hatun	h a t u n		189	azan1238	-12.9	-75.83	h a t u n	C V C V C	h a t u n	h a t u n	C V C V C
207	HuarazHuailas	big	hatun	hatun	h a t u n		189	huai1241	-9.52	-77.52	h a t u n	C V C V C	h a t u n	h a t u n	C V C V C
208	Imbabura	big	jatun	jatun	x a t u n		189	imba1240	-0.23	-78.26	x a t u n	C V C V C	x a t u n	x a t u n	C V C V C
209	Inkawasi	big	atun	atun	a t u n		189	lamb1276	-6.17	-79.47	- a t u n	V C V C	- a t u n	a t u n	V C V C
7337	Jauja	big	hatun	hatun	h a t u n		189	jauj1238	-11.67	-75.28	h a t u n	C V C V C	h a t u n	h a t u n	C V C V C
216	Maragua	big	hatun	hatun	h a t u n		189	sout2991	-18.96	-65.78	h a t u n	C V C V C	h a t u n	h a t u n	C V C V C
217	Napo	big	jatun	jatun	h a t u n		189	napo1242	-0.04	-76.23	h a t u n	C V C V C	h a t u n	h a t u n	C V C V C
218	Pacaraos	big	hatun	hatun	x a t u ŋ		189	paca1245	-11.14	-76.73	x a t u ŋ	C V C V C	x a t u ŋ	x a t u ŋ	C V C V C
222	Puno	big	hatun	hatun	h a t u n		189	puno1238	-14.61	-70.21	h a t u n	C V C V C	h a t u n	h a t u n	C V C V C
225	Santiagueno	big	atun	atun	a t u n		189	sant1432	-27.79	-64.25	- a t u n	V C V C	- a t u n	a t u n	V C V C
234	Yanac	big	atun	atun	a t u n		189	coro1247	-8.58	-77.99	- a t u n	V C V C	- a t u n	a t u n	V C V C
4555	Apuri	bird	pishqu	pishqu	p i ʃ q o		276	apur1253	-12.89	-75.81	p i ʃ q o	C V C C V	p i ʃ q o	p i ʃ q o	C V C C V
4557	Apurimac	bird	pisqo	pisqo	p i s q o		276	east2551	-13.89	-73.14	p i s q o	C V C C V	p i s q o	p i s q o	C V C C V
4562	Ayacucho	bird	urpitu, pisqo	pisqo	p i s χ o		276	ayac1239	-13.85	-74.32	p i s χ o	C V C C V	p i s χ o	p i s χ o	C V C C V
7218	Azuay	bird	pishcu	pishcu	p i ʃ k u		276	azua1234	-2.48	-78.97	p i ʃ k u	C V C C V	p i ʃ k u	p i ʃ k u	C V C C V
4565	Chachapoyas	bird	pishku	pishku	p i ʃ k u		276	chac1250	-6.27	-77.66	p i ʃ k u	C V C C V	p i ʃ k u	p i ʃ k u	C V C C V
4567	Chetilla	bird	pišγu	pišγu	p i ʃ ʁ u		276	caja1238	-7.09	-78.32	p i ʃ ʁ u	C V C C V	p i ʃ ʁ u	p i ʃ ʁ u	C V C C V
4574	Huallaga	bird	pišqu	pišqu	p i ʃ q u		276	hual1241	-9.57	-75.59	p i ʃ q u	C V C C V	p i ʃ q u	p i ʃ q u	C V C C V
4577	Huangascar	bird	pishqu	pishqu	p i ʃ q o		276	azan1238	-12.9	-75.83	p i ʃ q o	C V C C V	p i ʃ q o	p i ʃ q o	C V C C V
4578	HuarazHuailas	bird	pishqu	pishqu	p i ʃ q u		276	huai1241	-9.52	-77.52	p i ʃ q u	C V C C V	p i ʃ q u	p i ʃ q u	C V C C V
4579	Imbabura	bird	pishku	pishku	p i ʃ k u		276	imba1240	-0.23	-78.26	p i ʃ k u	C V C C V	p i ʃ k u	p i ʃ k u	C V C C V
7338	Jauja	bird	pishqu	pishqu	p i ʃ ʔ u		276	jauj1238	-11.67	-75.28	p i ʃ ʔ u	C V C C V	p i ʃ ʔ u	p i ʃ ʔ u	C V C C V
4587	Maragua	bird	p'isqu	p'isqu	pʼ i s q u		276	sout2991	-18.96	-65.78	pʼ i s q u	C V C C V	pʼ i s q u	pʼ i s q u	C V C C V
4588	Napo	bird	pishcu	pishcu	p i ʃ k u		276	napo1242	-0.04	-76.23	p i ʃ k u	C V C C V	p i ʃ k u	p i ʃ k u	C V C C V
4589	Pacaraos	bird	pishqu	pishqu	p i ʃ χ o		276	paca1245	-11.14	-76.73	p i ʃ χ o	C V C C V	p i ʃ χ o	p i ʃ χ o	C V C C V
4593	Puno	bird	p'isqu	p'isqu	pʼ i s q u		276	puno1238	-14.61	-70.21	pʼ i s q u	C V C C V	pʼ i s q u	pʼ i s q u	C V C C V
4597	Santiagueno	bird	pishqo	pishqo	p i ʃ q o	in disuse, vulgar connotation.	276	sant1432	-27.79	-64.25	p i ʃ q o	C V C C V	p i ʃ q o	p i ʃ q o	C V C C V
4606	Yanac	bird	pišqu	pišqu	p i ʃ q u		276	coro1247	-8.58	-77.99	p i ʃ q u	C V C C V	p i ʃ q u	p i ʃ q u	C V C C V
4580	Inkawasi	bird	kuru	kuru	k u r u		828	lamb1276	-6.17	-79.47	k u r u	C V C V	k u r u	k u r u	C V C V
1788	Apuri	bite, to	kani-	kani-	k a n i		373	apur1253	-12.89	-75.81	k a n i	C V C V	k a n - - i	k a n i	C V C V
1790	Apurimac	bite, to	kachu, kani	kani	k a n i		373	east2551	-13.89	-73.14	k a n i	C V C V	k a n - - i	k a n i	C V C V
1794	Ayacucho	bite, to	kani	kani	k a n i		373	ayac1239	-13.85	-74.32	k a n i	C V C V	k a n - - i	k a n i	C V C V
1797	Chachapoyas	bite, to	kani	kani	k a n i		373	chac1250	-6.27	-77.66	k a n i	C V C V	k a n - - i	k a n i	C V C V
1799	Chetilla	bite, to	kani.	kani.	k a n i		373	caja1238	-7.09	-78.32	k a n i	C V C V	k a n - - i	k a n i	C V C V
1804	Huallaga	bite, to	kañi.	kañi.	k a ɲ i		373	hual1241	-9.57	-75.59	k a ɲ i	C V C V	k a ɲ - - i	k a ɲ i	C V C V
1807	Huangascar	bite, to	kani-	kani-	k a n i		373	azan1238	-12.9	-75.83	k a n i	C V C V	k a n - - i	k a n i	C V C V
1808	HuarazHuailas	bite, to	kani	kani	k a n i		373	huai1241	-9.52	-77.52	k a n i	C V C V	k a n - - i	k a n i	C V C V
1809	Imbabura	bite, to	kanina	kanina	k a n a		373	imba1240	-0.23	-78.26	k a n a	C V C V	k a n i n a	k a n i n a	C V C V C V
1810	Inkawasi	bite, to	kani.	kani.	k a n i		373	lamb1276	-6.17	-79.47	k a n i	C V C V	k a n - - i	k a n i	C V C V
7339	Jauja	bite, to	kaniy	kaniy	k a n i		373	jauj1238	-11.67	-75.28	k a n i	C V C V	k a n - - i	k a n i	C V C V
1816	Maragua	bite, to	kani.	kani.	k a n i		373	sout2991	-18.96	-65.78	k a n i	C V C V	k a n - - i	k a n i	C V C V
1817	Napo	bite, to	canina	canina	k a n a		373	napo1242	-0.04	-76.23	k a n a	C V C V	k a n i n a	k a n i n a	C V C V C V
1818	Pacaraos	bite, to	kani	kani	k a n i		373	paca1245	-11.14	-76.73	k a n i	C V C V	k a n - - i	k a n i	C V C V
1822	Puno	bite, to	kani.	kani.	k a n i		373	puno1238	-14.61	-70.21	k a n i	C V C V	k a n - - i	k a n i	C V C V
1826	Santiagueno	bite, to	kaniy	kaniy	k a n iː		373	sant1432	-27.79	-64.25	k a n iː	C V C V	k a n - - iː	k a n iː	C V C V
1832	Yanac	bite, to	kani.	kani.	k a n i		373	coro1247	-8.58	-77.99	k a n i	C V C V	k a n - - i	k a n i	C V C V
7021	Apuri	black	yana	yana	j a n a		467	apur1253	-12.89	-75.81	j a n a	C V C V	j a n a	j a n a	C V C V
7022	Apurimac	black	yana	yana	j a n a		467	east2551	-13.89	-73.14	j a n a	C V C V	j a n a	j a n a	C V C V
7024	Atalla	black	yana	yana	j a n a		467	huan1249	-12.76	-74.87	j a n a	C V C V	j a n a	j a n a	C V C V
7025	Ayacucho	black	yana	yana	j a n a		467	ayac1239	-13.85	-74.32	j a n a	C V C V	j a n a	j a n a	C V C V
7263	Azuay	black	yana	yana	j a n a		467	azua1234	-2.48	-78.97	j a n a	C V C V	j a n a	j a n a	C V C V
7028	Chachapoyas	black	yana	yana	j a n a		467	chac1250	-6.27	-77.66	j a n a	C V C V	j a n a	j a n a	C V C V
7030	Chetilla	black	yana	yana	j a n a		467	caja1238	-7.09	-78.32	j a n a	C V C V	j a n a	j a n a	C V C V
7035	Huallaga	black	yana	yana	j a n a		467	hual1241	-9.57	-75.59	j a n a	C V C V	j a n a	j a n a	C V C V
7038	Huangascar	black	yana	yana	j a n a		467	azan1238	-12.9	-75.83	j a n a	C V C V	j a n a	j a n a	C V C V
7039	HuarazHuailas	black	yana	yana	j a ɲ a		467	huai1241	-9.52	-77.52	j a ɲ a	C V C V	j a ɲ a	j a ɲ a	C V C V
7040	Imbabura	black	yana	yana	j a n a		467	imba1240	-0.23	-78.26	j a n a	C V C V	j a n a	j a n a	C V C V
7041	Inkawasi	black	yana	yana	j a n a		467	lamb1276	-6.17	-79.47	j a n a	C V C V	j a n a	j a n a	C V C V
7340	Jauja	black	yana	yana	j a n a		467	jauj1238	-11.67	-75.28	j a n a	C V C V	j a n a	j a n a	C V C V
7049	Maragua	black	yana	yana	j a n a		467	sout2991	-18.96	-65.78	j a n a	C V C V	j a n a	j a n a	C V C V
7050	Napo	black	yana	yana	j a n a		467	napo1242	-0.04	-76.23	j a n a	C V C V	j a n a	j a n a	C V C V
7051	Pacaraos	black	yana	yana	j a n a		467	paca1245	-11.14	-76.73	j a n a	C V C V	j a n a	j a n a	C V C V
7056	Puno	black	yana	yana	j a n a		467	puno1238	-14.61	-70.21	j a n a	C V C V	j a n a	j a n a	C V C V
7060	Santiagueno	black	yana	yana	j a n a		467	sant1432	-27.79	-64.25	j a n a	C V C V	j a n a	j a n a	C V C V
7069	Yanac	black	yana	yana	j a n a		467	coro1247	-8.58	-77.99	j a n a	C V C V	j a n a	j a n a	C V C V
3922	Apuri	blood	yawar	yawar	j a w a ɾ		537	apur1253	-12.89	-75.81	j a w a ɾ	C V C V C	j a w a ɾ	j a w a ɾ	C V C V C
3923	Apurimac	blood	yawar	yawar	j a w a r		537	east2551	-13.89	-73.14	j a w a r	C V C V C	j a w a r	j a w a r	C V C V C
3925	Atalla	blood	yawar	yawar	j a w a r		537	huan1249	-12.76	-74.87	j a w a r	C V C V C	j a w a r	j a w a r	C V C V C
3926	Ayacucho	blood	yawar	yawar	j a w a ɾ		537	ayac1239	-13.85	-74.32	j a w a ɾ	C V C V C	j a w a ɾ	j a w a ɾ	C V C V C
7207	Azuay	blood	yahuar	yahuar	j a w a ɾ		537	azua1234	-2.48	-78.97	j a w a ɾ	C V C V C	j a w a ɾ	j a w a ɾ	C V C V C
3929	Chachapoyas	blood	yawar	yawar	j a w a r		537	chac1250	-6.27	-77.66	j a w a r	C V C V C	j a w a r	j a w a r	C V C V C
3931	Chetilla	blood	yawar	yawar	j a w a r		537	caja1238	-7.09	-78.32	j a w a r	C V C V C	j a w a r	j a w a r	C V C V C
3936	Huallaga	blood	yawar	yawar	j a w a r		537	hual1241	-9.57	-75.59	j a w a r	C V C V C	j a w a r	j a w a r	C V C V C
3939	Huangascar	blood	yawar	yawar	j a w a ɾ		537	azan1238	-12.9	-75.83	j a w a ɾ	C V C V C	j a w a ɾ	j a w a ɾ	C V C V C
3940	HuarazHuailas	blood	yawar	yawar	j a w a ɾ		537	huai1241	-9.52	-77.52	j a w a ɾ	C V C V C	j a w a ɾ	j a w a ɾ	C V C V C
3941	Imbabura	blood	yawar	yawar	j a w a ɾ		537	imba1240	-0.23	-78.26	j a w a ɾ	C V C V C	j a w a ɾ	j a w a ɾ	C V C V C
3942	Inkawasi	blood	yawar	yawar	j a w a r		537	lamb1276	-6.17	-79.47	j a w a r	C V C V C	j a w a r	j a w a r	C V C V C
7341	Jauja	blood	yawar	yawar	j a w a r		537	jauj1238	-11.67	-75.28	j a w a r	C V C V C	j a w a r	j a w a r	C V C V C
3950	Maragua	blood	yawar	yawar	j a w a r		537	sout2991	-18.96	-65.78	j a w a r	C V C V C	j a w a r	j a w a r	C V C V C
3952	Pacaraos	blood	yawar	yawar	j a w a ɾ		537	paca1245	-11.14	-76.73	j a w a ɾ	C V C V C	j a w a ɾ	j a w a ɾ	C V C V C
3956	Puno	blood	yawar	yawar	j a w a r		537	puno1238	-14.61	-70.21	j a w a r	C V C V C	j a w a r	j a w a r	C V C V C
3960	Santiagueno	blood	yaar	yaar	j aː ɾ		537	sant1432	-27.79	-64.25	j aː - - ɾ	C V C	j aː - - ɾ	j aː ɾ	C V C
3970	Yanac	blood	yawaŕ	yawaŕ	j a w a r̥		537	coro1247	-8.58	-77.99	j a w a r̥	C V C V C	j a w a r̥	j a w a r̥	C V C V C
4021	Apuri	bone	tullu	tullu	t u ʎ u		581	apur1253	-12.89	-75.81	t u ʎ u	C V C V	t u ʎ u	t u ʎ u	C V C V
4022	Apurimac	bone	tullu	tullu	t u ʎ u		581	east2551	-13.89	-73.14	t u ʎ u	C V C V	t u ʎ u	t u ʎ u	C V C V
4023	Atalla	bone	tuλu	tuλu	t u ʎ u		581	huan1249	-12.76	-74.87	t u ʎ u	C V C V	t u ʎ u	t u ʎ u	C V C V
4024	Ayacucho	bone	tullu	tullu	t u ʎ u		581	ayac1239	-13.85	-74.32	t u ʎ u	C V C V	t u ʎ u	t u ʎ u	C V C V
7208	Azuay	bone	tullu	tullu	t u ʎ u		581	azua1234	-2.48	-78.97	t u ʎ u	C V C V	t u ʎ u	t u ʎ u	C V C V
4027	Chachapoyas	bone	tullu	tullu	t u dʑ u		581	chac1250	-6.27	-77.66	t u dʑ u	C V C V	t u dʑ u	t u dʑ u	C V C V
4029	Chetilla	bone	tudžu	tudžu	t u dʒ u		581	caja1238	-7.09	-78.32	t u dʒ u	C V C V	t u dʒ u	t u dʒ u	C V C V
4034	Huallaga	bone	tuλu	tuλu	t u ʎ u		581	hual1241	-9.57	-75.59	t u ʎ u	C V C V	t u ʎ u	t u ʎ u	C V C V
4037	Huangascar	bone	tullu	tullu	t u ʎ u		581	azan1238	-12.9	-75.83	t u ʎ u	C V C V	t u ʎ u	t u ʎ u	C V C V
4038	HuarazHuailas	bone	tullu	tullu	t u ʎ u		581	huai1241	-9.52	-77.52	t u ʎ u	C V C V	t u ʎ u	t u ʎ u	C V C V
4039	Imbabura	bone	tullu	tullu	t u ʎ u		581	imba1240	-0.23	-78.26	t u ʎ u	C V C V	t u ʎ u	t u ʎ u	C V C V
4040	Inkawasi	bone	tužu	tužu	t u ʒ u		581	lamb1276	-6.17	-79.47	t u ʒ u	C V C V	t u ʒ u	t u ʒ u	C V C V
